Name,Description,Range,Type,Effect1,Level1,Effect2,Level2,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
Heal,Restores 5 HP to target ally.,1,Staff,heal,5,,,Staff,,
Mend,Restores 10 HP to target ally.,1,Staff,heal,10,,,Staff,,
Reconcile,Restores 7 HP to unit and target ally.,1,Staff,heal,7,heal_self,7,Staff,,
Recover,Slows Special trigger (cooldown count+1). Restores 15 HP to target ally.,1,Staff,heal,15,slaying,-1,Staff,,
Recover+,Restores HP = 50% of Atk +10. (Minimum of 15 HP.),1,Staff,heal,-10,,,Staff,,
Physic,Restores 8 HP to target ally. Range = 2.,2,Staff,heal,8,,,Staff,,
Physic+,Restores HP = 50% of Atk. (Minimum of 8 HP.) Range = 2.,2,Staff,heal,-50,,,Staff,,
Martyr,Slows Special trigger (cooldown count+1). Restores X HP to target (X = damage dealt to unit + 7). Restores Y HP to unit (Y = half damage dealt to unit).,1,Staff,heal,-3,slaying,-1,Staff,,
Martyr+,Restores HP = damage dealt to unit +50% of Atk. (Minimum of 7 HP.) Restores HP to unit = half damage dealt to unit.,1,Staff,heal,-49,,,Staff,,
Rehabilitate,"Slows Special trigger (cooldown count+1). If target's HP is ≤ 50%, the lower the target's HP, the more HP is restored. (Minimum of 7 HP.)	",1,Staff,heal,-1,slaying,-1,Staff,,
Rehabilitate+,"Restores HP = 50% of Atk -10. (Minimum of 7 HP.) If target's HP is ≤ 50%, the lower the target's HP, the more HP is restored.",1,Staff,heal,-2,,,Staff,,
Restore,"Restores 8 HP. Neutralizes ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action.",1,Staff,heal,8,restore,0,Staff,,
Restore+,"Restores HP = 50% of Atk. (Minimum of 8 HP.) Neutralizes ally's penalties (from skills like Panic, Threaten, etc.) and negative status effects (preventing counterattacks, restricting movement, etc.) that last through ally's next action.",1,Staff,heal,-50,restore,0,Staff,,
Rescue,"Restores 8 HP to target ally. Unit moves 1 space away from target ally. Ally moves to unit's previous space. If unit or ally cannot move to the target space (if another ally or foe is occupying the space), unit and ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,8,draw,0,Staff,,
Rescue+,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally. Unit moves 1 space away from target ally. Ally moves to unit's previous space. If unit or ally cannot move to the target space (if another ally or foe is occupying the space), unit and ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,-50,draw,0,Staff,,
Return,"Restores 8 HP to target ally and target ally moves to opposite side of unit. If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,8,repo,0,Staff,,
Return+,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally and target ally moves to opposite side of unit. If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,-50,repo,0,Staff,,
Nudge,"Restores 8 HP to target ally and pushes target ally 1 space away. If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,8,shove,0,Staff,,
Nudge+,"Restores HP = 50% of unit's Atk (min 8 HP) to target ally and pushes target ally 1 space away. If ally cannot move to the target space (if another ally or foe is occupying the space), ally will not move. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. (This skill is treated as a movement skill only when movement takes place.)",1,Move,heal,-50,shove,0,Staff,,
Magic Shield,"Restores 8 HP to target ally and grants the following effects to target ally for 1 turn: grants Atk/Res+4 and ""neutralizes penalties on unit during combat."" (Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. This skill is treated as a Rally Assist skill.)",1,Rally,heal,8,magicShield,0,Staff,,
Magic Shield+,"Restores HP = 50% of unit's Atk (min: 8 HP) to target ally and grants the following effects to target ally for 1 turn: Atk/Res+6 and ""neutralizes penalties on unit during combat."" If used on turn 2 onward, also grants another action to unit and inflicts ""restricts movement to 1 space"" on unit and Pair Up cohort through their next action. (Effects that can trigger on turn 2 will not trigger again for 2 turns after triggering. Using this skill has no effect on Special cooldown charge and unit does not gain EXP or SP. This skill is treated as a Rally Assist skill.)",1,Rally,heal,-50,magicShieldPlus,0,Staff,,
